이름 : 김희철
학번 : 14100407
국어점수 : 88
영어점수 : 95
수학점수 : 90
총점 : 273
평균 : 91

--------------------------------------
이름 : 류수빈
학번 : 17100407
국어점수 : 90
영어점수 : 100
수학점수 : 100
총점 : 290
평균 : 96.6667

--------------------------------------
이름 : 이재열
학번 : 14100409
국어점수 : 93
영어점수 : 99
수학점수 : 80
총점 : 272
평균 : 90.6667

--------------------------------------
이름 : 김은규
학번 : 14103407
국어점수 : 90
영어점수 : 100
수학점수 : 100
총점 : 290
평균 : 96.6667

--------------------------------------
이름 : 이학주
학번 : 14100443
국어점수 : 55
영어점수 : 60
수학점수 : 30
총점 : 145
평균 : 48.3333

--------------------------------------
이름 : 안건아
학번 : 14100479
국어점수 : 56
영어점수 : 34
수학점수 : 89
총점 : 179
평균 : 59.6667

--------------------------------------
이름 : 최재은
학번 : 14100878
국어점수 : 67
영어점수 : 78
수학점수 : 56
총점 : 201
평균 : 67

--------------------------------------
이름 : 문지호
학번 : 14600040
국어점수 : 90
영어점수 : 45
수학점수 : 76
총점 : 211
평균 : 70.3333

--------------------------------------
이름 : 반상헌
학번 : 14104056
국어점수 : 56
영어점수 : 56
수학점수 : 89
총점 : 201
평균 : 67

--------------------------------------
이름 : 강원우
학번 : 14100455
국어점수 : 45
영어점수 : 67
수학점수 : 100
총점 : 212
평균 : 70.6667

--------------------------------------
이름 : 이경상
학번 : 14104040
국어점수 : 90
영어점수 : 78
수학점수 : 56
총점 : 224
평균 : 74.6667

--------------------------------------
이름 : 윤선근
학번 : 14010340
국어점수 : 76
영어점수 : 89
수학점수 : 56
총점 : 221
평균 : 73.6667

--------------------------------------
이름 : 김현종
학번 : 14104050
국어점수 : 89
영어점수 : 56
수학점수 : 100
총점 : 245
평균 : 81.6667

--------------------------------------
이름 : 정현진
학번 : 14050504
국어점수 : 89
영어점수 : 56
수학점수 : 34
총점 : 179
평균 : 59.6667

--------------------------------------
이름 : 김성용
학번 : 14045043
국어점수 : 89
영어점수 : 67
수학점수 : 45
총점 : 201
평균 : 67

--------------------------------------
이름 : 송민석
학번 : 15010504
국어점수 : 30
영어점수 : 30
수학점수 : 100
총점 : 160
평균 : 53.3333

--------------------------------------
이름 : 송민순
학번 : 15002343
국어점수 : 80
영어점수 : 70
수학점수 : 76
총점 : 226
평균 : 75.3333

--------------------------------------
이름 : 조용범
학번 : 14104040
국어점수 : 90
영어점수 : 10
수학점수 : 45
총점 : 145
평균 : 48.3333

--------------------------------------
이름 : 김아름
학번 : 16094034
국어점수 : 89
영어점수 : 89
수학점수 : 98
총점 : 276
평균 : 92

--------------------------------------
이름 : 조은희
학번 : 16040304
국어점수 : 100
영어점수 : 100
수학점수 : 100
총점 : 300
평균 : 100

--------------------------------------
